well,row,col,sample,condition,exclude_from_randomization,replicate,combination,final_concentration_uM,drug_panel
C03,C,3,patient_sample,DMSO,True,1,False,,ovarian
C04,C,4,patient_sample,Carboplatin,False,1,False,10,ovarian
C05,C,5,patient_sample,Ulixertinib,False,1,False,5,melanoma
C06,C,6,patient_sample,Cobimetinib,False,1,False,2.5,melanoma
C07,C,7,patient_sample,Everolimus,False,1,False,5,ovarian
C08,C,8,patient_sample,Trametinib + Erlotinib,False,1,True,5.0/5.0,ovarian
C09,C,9,patient_sample,Tovorafenib,False,1,False,2.5,melanoma
C10,C,10,patient_sample,Paclitaxel,False,1,False,0.5,ovarian
C11,C,11,patient_sample,Crizotinib,False,1,False,5,ovarian
D03,D,3,patient_sample,Staurosporine,False,1,False,2.5,ovarian
D04,D,4,patient_sample,Vemurafenib,False,1,False,2.5,melanoma
D05,D,5,patient_sample,Dabrafenib,False,1,False,2.5,melanoma
D06,D,6,patient_sample,Trametinib,False,1,False,2.5,melanoma
D07,D,7,patient_sample,Dabrafenib + Trametinib,False,1,True,2.5 / 2.5,melanoma
D08,D,8,patient_sample,Gemcitabine,False,1,False,2.5,ovarian
D09,D,9,patient_sample,Temozolomide,False,1,False,,melanoma
D10,D,10,patient_sample,DMSO,True,2,False,,ovarian
E03,E,3,patient_sample,Staurosporine,False,2,False,2.5,ovarian
E04,E,4,patient_sample,DMSO,True,3,False,,ovarian
E05,E,5,patient_sample,Fluorouracil,False,1,False,30,ovarian
E06,E,6,patient_sample,Carboplatin + Paclitaxel,False,1,True,10 / 0.5,ovarian
E07,E,7,patient_sample,Cediranib,False,1,False,5,ovarian
E08,E,8,patient_sample,Neratinib,False,1,False,5,ovarian
E09,E,9,patient_sample,Dacarbazine,False,1,False,,melanoma
E10,E,10,patient_sample,Capivasertib,False,1,False,5,melanoma
E11,E,11,patient_sample,Tovorafenib,False,2,False,2.5,melanoma
F03,F,3,patient_sample,Abemaciclib,False,1,False,10,ovarian
F04,F,4,patient_sample,Alpelisib,False,1,False,5,ovarian
F05,F,5,patient_sample,Gemcitabine,False,2,False,2.5,ovarian
F06,F,6,patient_sample,Erlotinib,False,1,False,5,ovarian
F07,F,7,patient_sample,Trametinib,False,2,False,2.5,melanoma
F08,F,8,patient_sample,Everolimus,False,2,False,5,ovarian
F09,F,9,patient_sample,DMSO,True,4,False,,ovarian
F10,F,10,patient_sample,Ulixertinib,False,2,False,5,melanoma
G03,G,3,patient_sample,Dabrafenib,False,2,False,2.5,melanoma
G04,G,4,patient_sample,Temozolomide,False,2,False,,melanoma
G05,G,5,patient_sample,Crizotinib,False,2,False,5,ovarian
G06,G,6,patient_sample,DMSO,True,5,False,,ovarian
G07,G,7,patient_sample,Vemurafenib,False,2,False,2.5,melanoma
G08,G,8,patient_sample,Staurosporine,False,3,False,2.5,ovarian
G09,G,9,patient_sample,Dasatinib,False,1,False,5,ovarian
G10,G,10,patient_sample,Ribociclib,False,1,False,10,ovarian
G11,G,11,patient_sample,Dabrafenib + Trametinib,False,2,True,2.5 / 2.5,melanoma
H03,H,3,patient_sample,Capivasertib,False,2,False,5,melanoma
H04,H,4,patient_sample,Vemurafenib + Cobimetinib,False,1,True,2.5 / 2.5,melanoma
H05,H,5,patient_sample,Everolimus,False,3,False,5,ovarian
H06,H,6,patient_sample,Neratinib,False,2,False,5,ovarian
H07,H,7,patient_sample,DMSO,True,6,False,,ovarian
H08,H,8,patient_sample,Erlotinib,False,2,False,5,ovarian
H09,H,9,patient_sample,Trametinib + Erlotinib,False,2,True,5.0/5.0,ovarian
H10,H,10,patient_sample,Sorafenib,False,1,False,5,ovarian
I03,I,3,patient_sample,Avutometinib,False,1,False,2.5,melanoma
I04,I,4,patient_sample,Alpelisib,False,2,False,5,ovarian
I05,I,5,patient_sample,Tovorafenib,False,3,False,2.5,melanoma
I06,I,6,patient_sample,Fluorouracil,False,2,False,30,ovarian
I07,I,7,patient_sample,Olaparib,False,1,False,10,ovarian
I08,I,8,patient_sample,DMSO,True,7,False,,ovarian
I09,I,9,patient_sample,Erlotinib,False,3,False,5,ovarian
I10,I,10,patient_sample,Ribociclib,False,2,False,10,ovarian
I11,I,11,patient_sample,Vemurafenib + Cobimetinib,False,2,True,2.5 / 2.5,melanoma
J03,J,3,patient_sample,Cobimetinib,False,2,False,2.5,melanoma
J04,J,4,patient_sample,Dasatinib,False,2,False,5,ovarian
J05,J,5,patient_sample,DMSO,True,8,False,,ovarian
J06,J,6,patient_sample,Carboplatin,False,2,False,10,ovarian
J07,J,7,patient_sample,Dabrafenib + Trametinib,False,3,True,2.5 / 2.5,melanoma
J08,J,8,patient_sample,Crizotinib,False,3,False,5,ovarian
J09,J,9,patient_sample,Cediranib,False,2,False,5,ovarian
J10,J,10,patient_sample,Abemaciclib,False,2,False,10,ovarian
K03,K,3,patient_sample,Vemurafenib,False,3,False,2.5,melanoma
K04,K,4,patient_sample,Dacarbazine,False,2,False,,melanoma
K05,K,5,patient_sample,Cediranib,False,3,False,5,ovarian
K06,K,6,patient_sample,Avutometinib,False,2,False,2.5,melanoma
K07,K,7,patient_sample,Carboplatin,False,3,False,10,ovarian
