well,row,col,sample,condition,exclude_from_randomization,replicate,combination,final_concentration_uM,drug_panel,2000x_mM,1000x_mM
A01,A,1,2000x,Alpelisib,False,1,False,7.5,standard,15.0,7.5
A02,A,2,2000x,Staurosporine_high,False,1,False,1,standard,2.0,1.0
A03,A,3,2000x,Everolimus,False,1,False,5,standard,10.0,5.0
A04,A,4,2000x,Dasatinib,False,1,False,2.5,standard,5.0,2.5
A05,A,5,2000x,Docetaxel,False,1,False,0.5,non-standard,1.0,0.5
A06,A,6,2000x_ab_drugs,Durvalumab,True,1,False,0.034,standard,0.068,0.034
A07,A,7,1000x,Alpelisib,False,1,False,7.5,standard,15.0,7.5
A08,A,8,1000x,Staurosporine_high,False,1,False,1,standard,2.0,1.0
A09,A,9,1000x,Everolimus,False,1,False,5,standard,10.0,5.0
A10,A,10,1000x,Dasatinib,False,1,False,2.5,standard,5.0,2.5
A11,A,11,1000x,Docetaxel,False,1,False,0.5,non-standard,1.0,0.5
A12,A,12,1000x_ab_drugs,Durvalumab,True,1,False,0.034,standard,0.068,0.034
B01,B,1,2000x,Palbociclib,False,1,False,10,standard,20.0,10.0
B02,B,2,2000x,Capivasertib,False,1,False,5,standard,10.0,5.0
B03,B,3,2000x,Letrozole,False,1,False,2.5,standard,5.0,2.5
B04,B,4,2000x,Trametinib,False,1,False,2.5,standard,5.0,2.5
B05,B,5,2000x,DMSO,False,1,False,,standard,,
B06,B,6,2000x_ab_drugs,Pembrolizumab,True,1,False,0.034,standard,0.068,0.034
B07,B,7,1000x,Palbociclib,False,1,False,10,standard,20.0,10.0
B08,B,8,1000x,Capivasertib,False,1,False,5,standard,10.0,5.0
B09,B,9,1000x,Letrozole,False,1,False,2.5,standard,5.0,2.5
B10,B,10,1000x,Trametinib,False,1,False,2.5,standard,5.0,2.5
B11,B,11,1000x,DMSO,False,1,False,,standard,,
B12,B,12,1000x_ab_drugs,Pembrolizumab,True,1,False,0.034,standard,0.068,0.034
C01,C,1,2000x,Niraparib,False,1,False,15,standard,30.0,15.0
C02,C,2,2000x,Carboplatin,False,1,False,15,standard,30.0,15.0
C03,C,3,2000x,Fluorouracil,False,1,False,30,standard,60.0,30.0
C04,C,4,2000x,Cediranib,False,1,False,5,standard,10.0,5.0
C05,C,5,2000x,Lenvatinib,False,1,False,5,standard,10.0,5.0
C07,C,7,1000x,Niraparib,False,1,False,15,standard,30.0,15.0
C08,C,8,1000x,Carboplatin,False,1,False,15,standard,30.0,15.0
C09,C,9,1000x,Fluorouracil,False,1,False,30,standard,60.0,30.0
C10,C,10,1000x,Cediranib,False,1,False,5,standard,10.0,5.0
C11,C,11,1000x,Lenvatinib,False,1,False,5,standard,10.0,5.0
C12,C,12,1000x_ab_drugs,Trastuzumab Deruxtecan,True,1,False,0.025,standard,0.05,0.025
D01,D,1,2000x,Paclitaxel,False,1,False,0.5,standard,1.0,0.5
D02,D,2,2000x,Cobimetinib,False,1,False,2.5,standard,5.0,2.5
D03,D,3,2000x,Erlotinib,False,1,False,5,standard,10.0,5.0
D04,D,4,2000x,Cyclophosphamide,False,1,False,30,standard,60.0,30.0
D05,D,5,2000x,Abemaciclib,False,1,False,5,standard,10.0,5.0
D07,D,7,1000x,Paclitaxel,False,1,False,0.5,standard,1.0,0.5
D08,D,8,1000x,Cobimetinib,False,1,False,2.5,standard,5.0,2.5
D09,D,9,1000x,Erlotinib,False,1,False,5,standard,10.0,5.0
D10,D,10,1000x,Cyclophosphamide,False,1,False,30,standard,60.0,30.0
D11,D,11,1000x,Abemaciclib,False,1,False,5,standard,10.0,5.0
D12,D,12,1000x_ab_drugs,Mirvetuximab Soravtansine,True,1,False,0.025,standard,0.05,0.025
E01,E,1,2000x,Capecitabine,False,1,False,30,non-standard,60.0,30.0
E02,E,2,2000x,Osimertinib,False,1,False,5,standard,10.0,5.0
E03,E,3,2000x,Staurosporine_low,False,1,False,0.25,standard,0.5,0.25
E04,E,4,2000x,Vinorelbine,False,1,False,0.5,standard,1.0,0.5
E05,E,5,2000x,Vinblastine,False,1,False,0.5,standard,1.0,0.5
E07,E,7,1000x,Capecitabine,False,1,False,30,non-standard,60.0,30.0
E08,E,8,1000x,Osimertinib,False,1,False,5,standard,10.0,5.0
E09,E,9,1000x,Staurosporine_low,False,1,False,0.25,standard,0.5,0.25
E10,E,10,1000x,Vinorelbine,False,1,False,0.5,standard,1.0,0.5
E11,E,11,1000x,Vinblastine,False,1,False,0.5,standard,1.0,0.5
F01,F,1,2000x,Gemcitabine,False,1,False,2.5,standard,5.0,2.5
F02,F,2,2000x,Olaparib,False,1,False,15,standard,30.0,15.0
F03,F,3,2000x,Ribociclib,False,1,False,10,standard,20.0,10.0
F04,F,4,2000x,Etoposide,False,1,False,0.5,standard,1.0,0.5
F07,F,7,1000x,Gemcitabine,False,1,False,2.5,standard,5.0,2.5
F08,F,8,1000x,Olaparib,False,1,False,15,standard,30.0,15.0
F09,F,9,1000x,Ribociclib,False,1,False,10,standard,20.0,10.0
F10,F,10,1000x,Etoposide,False,1,False,0.5,standard,1.0,0.5
