well,row,col,sample,condition,exclude_from_randomization,replicate,combination,final_concentration_uM,drug_panel
C03,C,3,patient_1,DMSO,True,1,False,,standard
C04,C,4,patient_1,Trastuzumab Deruxtecan,False,1,False,0.0017,standard
C05,C,5,patient_1,Everolimus,False,1,False,5.0,standard
C06,C,6,patient_1,Erlotinib,False,1,False,5.0,standard
C07,C,7,patient_1,Fluorouracil,False,1,False,30.0,standard
C08,C,8,patient_1,Vinblastine,False,1,False,0.25,standard
C09,C,9,patient_1,Olaparib + Cediranib,False,1,True,,experimental
C10,C,10,patient_1,Carboplatin + Adavosertib,False,1,True,,experimental
C11,C,11,patient_1,Olaparib + Alpelisib,False,1,True,,experimental
C12,C,12,OVCAR3,DMSO,True,1,False,,standard
C13,C,13,patient_2,DMSO,True,1,False,,standard
C14,C,14,patient_2,Olaparib,False,1,False,10.0,standard
C15,C,15,patient_2,Alpelisib,False,1,False,5.0,standard
C16,C,16,patient_2,Vinblastine,False,1,False,0.25,standard
C17,C,17,patient_2,Fluorouracil,False,1,False,30.0,standard
C18,C,18,patient_2,Everolimus,False,1,False,5.0,standard
C19,C,19,patient_2,Doxorubicin + Cyclophosphamide,False,1,True,,experimental
C20,C,20,patient_2,Olaparib + Berzosertib,False,1,True,,experimental
C21,C,21,patient_2,Trametinib + Ribociclib,False,1,True,,experimental
D03,D,3,patient_1,Alpelisib,False,1,False,5.0,standard
D04,D,4,patient_1,Ribociclib,False,1,False,10.0,standard
D05,D,5,patient_1,Carboplatin + Paclitaxel,False,1,True,,standard
D06,D,6,patient_1,Carboplatin,False,1,False,10.0,standard
D07,D,7,patient_1,Olaparib,False,1,False,10.0,standard
D08,D,8,patient_1,DMSO,True,2,False,,standard
D09,D,9,patient_1,Trametinib + Ribociclib,False,1,True,,experimental
D10,D,10,patient_1,Olaparib + Berzosertib,False,1,True,,experimental
D11,D,11,patient_1,Bortezomib,False,1,False,0.25,experimental
D12,D,12,OVCAR3,Etoposide,True,1,False,1.0,standard
D13,D,13,patient_2,Trastuzumab Deruxtecan,False,1,False,0.0017,standard
D14,D,14,patient_2,Cyclophosphamide,False,1,False,10.0,standard
D15,D,15,patient_2,Carboplatin,False,1,False,10.0,standard
D16,D,16,patient_2,Cobimetinib,False,1,False,5.0,standard
D17,D,17,patient_2,Staurosporine,False,1,False,2.5,standard
D18,D,18,patient_2,DMSO,True,2,False,,standard
D19,D,19,patient_2,Bortezomib,False,1,False,0.25,experimental
D20,D,20,patient_2,Carboplatin + Gemcitabine,False,1,True,,experimental
D21,D,21,patient_2,Olaparib + Trametinib,False,1,True,,experimental
E03,E,3,patient_1,Erlotinib,False,2,False,5.0,standard
E04,E,4,patient_1,Carboplatin + Paclitaxel,False,2,True,,standard
E05,E,5,patient_1,Abemaciclib,False,1,False,10.0,standard
E06,E,6,patient_1,DMSO,True,3,False,,standard
E07,E,7,patient_1,Paclitaxel,False,1,False,0.25,standard
E08,E,8,patient_1,Etoposide,False,1,False,1.0,standard
E09,E,9,patient_1,Trametinib + Ribociclib,False,2,True,,experimental
E10,E,10,patient_1,Carboplatin + Gemcitabine,False,1,True,,experimental
E11,E,11,patient_1,Bortezomib,False,2,False,0.25,experimental
E12,E,12,OVCAR3,DMSO,True,2,False,,standard
E13,E,13,patient_2,Trametinib,False,1,False,5.0,standard
E14,E,14,patient_2,Ribociclib,False,1,False,10.0,standard
E15,E,15,patient_2,Cobimetinib,False,2,False,5.0,standard
E16,E,16,patient_2,DMSO,True,3,False,,standard
E17,E,17,patient_2,Erlotinib,False,1,False,5.0,standard
E18,E,18,patient_2,Olaparib,False,2,False,10.0,standard
E19,E,19,patient_2,Olaparib + Everolimus,False,1,True,,experimental
E20,E,20,patient_2,Carboplatin + Adavosertib,False,1,True,,experimental
E21,E,21,patient_2,Trametinib + Ribociclib,False,2,True,,experimental
F03,F,3,patient_1,Alpelisib,False,2,False,5.0,standard
F04,F,4,patient_1,Vinblastine,False,2,False,0.25,standard
F05,F,5,patient_1,Niraparib,False,1,False,10.0,standard
F06,F,6,patient_1,Trametinib,False,1,False,5.0,standard
F07,F,7,patient_1,DMSO,True,4,False,,standard
F08,F,8,patient_1,Staurosporine,False,1,False,2.5,standard
F09,F,9,patient_1,Carboplatin + Trametinib,False,1,True,,experimental
F10,F,10,patient_1,Prexasertib,False,1,False,5.0,experimental
F11,F,11,patient_1,Carboplatin + Adavosertib,False,2,True,,experimental
F12,F,12,OVCAR3,Staurosporine,True,1,False,2.5,standard
F13,F,13,patient_2,Fluorouracil,False,2,False,30.0,standard
F14,F,14,patient_2,Dasatinib,False,1,False,5.0,standard
F15,F,15,patient_2,Vinblastine,False,2,False,0.25,standard
F16,F,16,patient_2,Abemaciclib,False,1,False,10.0,standard
F17,F,17,patient_2,DMSO,True,4,False,,standard
F18,F,18,patient_2,Paclitaxel,False,1,False,0.25,standard
F19,F,19,patient_2,Prexasertib,False,1,False,5.0,experimental
F20,F,20,patient_2,Olaparib + Cediranib,False,1,True,,experimental
F21,F,21,patient_2,Bortezomib,False,2,False,0.25,experimental
G03,G,3,patient_1,Niraparib,False,2,False,10.0,standard
G04,G,4,patient_1,Everolimus,False,2,False,5.0,standard
G05,G,5,patient_1,Dasatinib,False,1,False,5.0,standard
G06,G,6,patient_1,Cobimetinib,False,1,False,5.0,standard
G07,G,7,patient_1,Ribociclib,False,2,False,10.0,standard
G08,G,8,patient_1,DMSO,True,5,False,,standard
G09,G,9,patient_1,Doxorubicin + Cyclophosphamide,False,1,True,,experimental
G10,G,10,patient_1,Prexasertib,False,2,False,5.0,experimental
G11,G,11,patient_1,Trametinib + Ribociclib,False,3,True,,experimental
G12,G,12,OVCAR3,DMSO,True,3,False,,standard
G13,G,13,patient_2,Fluorouracil,False,3,False,30.0,standard
G14,G,14,patient_2,Cyclophosphamide,False,2,False,10.0,standard
G15,G,15,patient_2,Ribociclib,False,2,False,10.0,standard
G16,G,16,patient_2,Etoposide,False,1,False,1.0,standard
G17,G,17,patient_2,Abemaciclib,False,2,False,10.0,standard
G18,G,18,patient_2,DMSO,True,5,False,,standard
G19,G,19,patient_2,Olaparib + Berzosertib,False,2,True,,experimental
G20,G,20,patient_2,Olaparib + Everolimus,False,2,True,,experimental
G21,G,21,patient_2,Olaparib + Alpelisib,False,1,True,,experimental
H03,H,3,patient_1,Staurosporine,False,2,False,2.5,standard
H04,H,4,patient_1,Trametinib,False,2,False,5.0,standard
H05,H,5,patient_1,DMSO,True,6,False,,standard
H06,H,6,patient_1,Cyclophosphamide,False,1,False,10.0,standard
H07,H,7,patient_1,Carboplatin,False,2,False,10.0,standard
H08,H,8,patient_1,Trastuzumab Deruxtecan,False,2,False,0.0017,standard
H09,H,9,patient_1,Olaparib + Everolimus,False,1,True,,experimental
H10,H,10,patient_1,Bortezomib,False,3,False,0.25,experimental
H11,H,11,patient_1,Olaparib + Trametinib,False,1,True,,experimental
H12,H,12,OVCAR3,Etoposide,True,2,False,1.0,standard
H13,H,13,patient_2,Methotrexate,False,1,False,5.0,standard
H14,H,14,patient_2,Everolimus,False,2,False,5.0,standard
H15,H,15,patient_2,DMSO,True,6,False,,standard
H16,H,16,patient_2,Olaparib,False,3,False,10.0,standard
H17,H,17,patient_2,Niraparib,False,1,False,10.0,standard
H18,H,18,patient_2,Erlotinib,False,2,False,5.0,standard
H19,H,19,patient_2,Carboplatin + Trametinib,False,1,True,,experimental
H20,H,20,patient_2,Carboplatin + Gemcitabine,False,2,True,,experimental
H21,H,21,patient_2,Prexasertib,False,2,False,5.0,experimental
I03,I,3,patient_1,Trastuzumab Deruxtecan,False,3,False,0.0017,standard
I04,I,4,patient_1,Everolimus,False,3,False,5.0,standard
I05,I,5,patient_1,Fluorouracil,False,2,False,30.0,standard
I06,I,6,patient_1,Alpelisib,False,3,False,5.0,standard
I07,I,7,patient_1,DMSO,True,7,False,,standard
I08,I,8,patient_1,Dasatinib,False,2,False,5.0,standard
I09,I,9,patient_1,Carboplatin + Trametinib,False,2,True,,experimental
I10,I,10,patient_1,Olaparib + Everolimus,False,2,True,,experimental
I11,I,11,patient_1,Doxorubicin + Cyclophosphamide,False,2,True,,experimental
I12,I,12,OVCAR3,DMSO,True,4,False,,standard
I13,I,13,patient_2,Ribociclib,False,3,False,10.0,standard
I14,I,14,patient_2,Alpelisib,False,2,False,5.0,standard
I15,I,15,patient_2,Carboplatin,False,2,False,10.0,standard
I16,I,16,patient_2,Methotrexate,False,2,False,5.0,standard
I17,I,17,patient_2,DMSO,True,7,False,,standard
I18,I,18,patient_2,Vinblastine,False,3,False,0.25,standard
I19,I,19,patient_2,Doxorubicin + Cyclophosphamide,False,2,True,,experimental
I20,I,20,patient_2,Carboplatin + Gemcitabine,False,3,True,,experimental
I21,I,21,patient_2,Carboplatin + Trametinib,False,2,True,,experimental
J03,J,3,patient_1,Etoposide,False,2,False,1.0,standard
J04,J,4,patient_1,DMSO,True,8,False,,standard
J05,J,5,patient_1,Carboplatin,False,3,False,10.0,standard
J06,J,6,patient_1,Olaparib,False,2,False,10.0,standard
J07,J,7,patient_1,Methotrexate,False,1,False,5.0,standard
J08,J,8,patient_1,Paclitaxel,False,2,False,0.25,standard
J09,J,9,patient_1,Olaparib + Alpelisib,False,2,True,,experimental
J10,J,10,patient_1,Olaparib + Cediranib,False,2,True,,experimental
