well,row,col,sample,condition,exclude_from_randomization,replicate,combination,final_concentration_uM,drug_panel,2000x_mM,1000x_mM
C03,C,3,patient_1,DMSO,True,1,False,,standard,,
C04,C,4,patient_1,Fluorouracil,False,1,False,30.0,standard,60.0,30.0
C05,C,5,patient_1,Vinblastine,False,1,False,0.5,standard,1.0,0.5
C06,C,6,patient_1,Abemaciclib,False,1,False,10.0,standard,20.0,10.0
C07,C,7,patient_1,Methotrexate,False,1,False,5.0,standard,10.0,5.0
C08,C,8,patient_1,Erlotinib,False,1,False,5.0,standard,10.0,5.0
C09,C,9,patient_1,Bortezomib,False,1,False,0.5,experimental,1.0,0.5
C10,C,10,patient_1,Carboplatin + Adavosertib,False,1,True,,experimental,,
C11,C,11,patient_1,Trametinib + Ribociclib,False,1,True,,experimental,,
C12,C,12,OVCAR3,DMSO,True,1,False,,standard,,
C13,C,13,patient_2,DMSO,True,1,False,,standard,,
C14,C,14,patient_2,Vinblastine,False,1,False,0.5,standard,1.0,0.5
C15,C,15,patient_2,Staurosporine,False,1,False,2.5,standard,5.0,2.5
C16,C,16,patient_2,Olaparib,False,1,False,10.0,standard,20.0,10.0
C17,C,17,patient_2,Trastuzumab Deruxtecan,False,1,False,0.0017,standard,0.0034,0.0017
C18,C,18,patient_2,Etoposide,False,1,False,1.0,standard,2.0,1.0
C19,C,19,patient_2,Olaparib + Cediranib,False,1,True,,experimental,,
C20,C,20,patient_2,Carboplatin + Gemcitabine,False,1,True,,experimental,,
C21,C,21,patient_2,Olaparib + Trametinib,False,1,True,,experimental,,
D03,D,3,patient_1,Everolimus,False,1,False,5.0,standard,10.0,5.0
D04,D,4,patient_1,Cobimetinib,False,1,False,5.0,standard,10.0,5.0
D05,D,5,patient_1,Olaparib,False,1,False,10.0,standard,20.0,10.0
D06,D,6,patient_1,Trametinib,False,1,False,5.0,standard,10.0,5.0
D07,D,7,patient_1,Paclitaxel,False,1,False,0.5,standard,1.0,0.5
D08,D,8,patient_1,DMSO,True,2,False,,standard,,
D09,D,9,patient_1,Doxorubicin + Cyclophosphamide,False,1,True,,experimental,,
D10,D,10,patient_1,Carboplatin + Gemcitabine,False,1,True,,experimental,,
D11,D,11,patient_1,Olaparib + Everolimus,False,1,True,,experimental,,
D12,D,12,OVCAR3,Etoposide,True,1,False,1.0,standard,2.0,1.0
D13,D,13,patient_2,Methotrexate,False,1,False,5.0,standard,10.0,5.0
D14,D,14,patient_2,Carboplatin + Paclitaxel,False,1,True,,standard,,
D15,D,15,patient_2,Alpelisib,False,1,False,5.0,standard,10.0,5.0
D16,D,16,patient_2,Cyclophosphamide,False,1,False,10.0,standard,20.0,10.0
D17,D,17,patient_2,Cobimetinib,False,1,False,5.0,standard,10.0,5.0
D18,D,18,patient_2,DMSO,True,2,False,,standard,,
D19,D,19,patient_2,Carboplatin + Trametinib,False,1,True,,experimental,,
D20,D,20,patient_2,Olaparib + Alpelisib,False,1,True,,experimental,,
D21,D,21,patient_2,Prexasertib,False,1,False,5.0,experimental,10.0,5.0
E03,E,3,patient_1,Carboplatin,False,1,False,10.0,standard,20.0,10.0
E04,E,4,patient_1,Carboplatin + Paclitaxel,False,1,True,,standard,,
E05,E,5,patient_1,Niraparib,False,1,False,10.0,standard,20.0,10.0
E06,E,6,patient_1,DMSO,True,3,False,,standard,,
E07,E,7,patient_1,Ribociclib,False,1,False,10.0,standard,20.0,10.0
E08,E,8,patient_1,Everolimus,False,2,False,5.0,standard,10.0,5.0
E09,E,9,patient_1,Carboplatin + Gemcitabine,False,2,True,,experimental,,
E10,E,10,patient_1,Prexasertib,False,1,False,5.0,experimental,10.0,5.0
E11,E,11,patient_1,Olaparib + Berzosertib,False,1,True,,experimental,,
E12,E,12,OVCAR3,DMSO,True,2,False,,standard,,
E13,E,13,patient_2,Staurosporine,False,2,False,2.5,standard,5.0,2.5
E14,E,14,patient_2,Fluorouracil,False,1,False,30.0,standard,60.0,30.0
E15,E,15,patient_2,Cobimetinib,False,2,False,5.0,standard,10.0,5.0
E16,E,16,patient_2,DMSO,True,3,False,,standard,,
E17,E,17,patient_2,Dasatinib,False,1,False,5.0,standard,10.0,5.0
E18,E,18,patient_2,Paclitaxel,False,1,False,0.5,standard,1.0,0.5
E19,E,19,patient_2,Olaparib + Everolimus,False,1,True,,experimental,,
